rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;999;999;999;firstFullscreen;999;999;999;999;999;999;999;999;999;fullscreen;0;1496;0.0-0.0;9546715;05/05/2020 14:35
7440.1899999939;999;"[{""page"":0,""time"":5060.24499994237},{""page"":1,""time"":747.3750000353903},{""page"":2,""time"":259.8749999";999;instr;999;999;999;999;999;999;999;999;999;instructions;1;8988;0.0-1.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;0;0;1;2;1;6;0;10;3;html-keyboard-response;2;10031;0.0-2.0;9546715;05/05/2020 14:35
999;imgJS/WFF_scramble_4.jpg,imgJS/WFF_scramble_35.jpg,imgJS/WFF_scramble_27.jpg,imgJS/WFF_scramble_28.jpg,imgJS/WFF_scramble_6.jpg,imgJS/WFF_scramble_26.jpg,imgJS/WFF_31.jpg,imgJS/WFF_scramble_36.jpg,imgJS/WFF_scramble_31.jpg,imgJS/WFF_scramble_22.jpg,i;999;999;rsvp_img_15;0;0;1;2;1;6;0;10;3;rsvp_flux;3;11086;0.0-3.0;9546715;05/05/2020 14:35
1965.0799999945;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;0;1;2;1;6;0;10;3;html-keyboard-response;4;13055;0.0-4.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;5;13098;0.0-5.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;0;1;1;1;1;4;1;6;2;html-keyboard-response;6;14104;0.0-6.0;9546715;05/05/2020 14:35
999;imgJS/WMF_scramble_20.jpg,imgJS/WMF_scramble_7.jpg,imgJS/WMF_scramble_25.jpg,imgJS/WMF_scramble_25.jpg,imgJS/WMF_23.jpg,imgJS/WMF_scramble_26.jpg,imgJS/WFN_66.jpg,imgJS/WMF_scramble_26.jpg,imgJS/WMF_scramble_27.jpg,imgJS/WMF_scramble_6.jpg,imgJS/WMF_;999;999;rsvp_img_15;0;1;1;1;1;4;1;6;2;rsvp_flux;7;15158;0.0-7.0;9546715;05/05/2020 14:35
1085.1199999452;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;1;1;1;1;4;1;6;2;html-keyboard-response;8;16247;0.0-8.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;9;16290;0.0-9.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;0;2;1;4;1;5;0;9;1;html-keyboard-response;10;17295;0.0-10.0;9546715;05/05/2020 14:35
999;imgJS/WFF_scramble_4.jpg,imgJS/WFF_scramble_29.jpg,imgJS/WFF_scramble_11.jpg,imgJS/WFF_scramble_28.jpg,imgJS/WFF_scramble_8.jpg,imgJS/WFF_8.jpg,imgJS/WFF_scramble_11.jpg,imgJS/WFF_scramble_6.jpg,imgJS/WFF_scramble_24.jpg,imgJS/WMF_3.jpg,imgJS/WFF_scr;999;999;rsvp_img_15;0;2;1;4;1;5;0;9;1;rsvp_flux;11;18350;0.0-11.0;9546715;05/05/2020 14:35
1057.2199999588;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;0;2;1;4;1;5;0;9;1;html-keyboard-response;12;19410;0.0-12.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;13;19455;0.0-13.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;0;3;1;2;1;6;0;8;2;html-keyboard-response;14;20459;0.0-14.0;9546715;05/05/2020 14:35
999;imgJS/WFF_scramble_16.jpg,imgJS/WFF_scramble_27.jpg,imgJS/WFF_scramble_29.jpg,imgJS/WFF_scramble_15.jpg,imgJS/WFF_scramble_14.jpg,imgJS/WFF_scramble_16.jpg,imgJS/WFF_5.jpg,imgJS/WFF_scramble_7.jpg,imgJS/WFN_83.jpg,imgJS/WFF_scramble_22.jpg,imgJS/WFF_;999;999;rsvp_img_15;0;3;1;2;1;6;0;8;2;rsvp_flux;15;21513;0.0-15.0;9546715;05/05/2020 14:35
1015.4399999883;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;3;1;2;1;6;0;8;2;html-keyboard-response;16;22532;0.0-16.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;17;22587;0.0-17.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;0;4;1;1;1;5;1;9;3;html-keyboard-response;18;23592;0.0-18.0;9546715;05/05/2020 14:35
999;imgJS/WMF_scramble_16.jpg,imgJS/WMF_scramble_12.jpg,imgJS/WMF_scramble_21.jpg,imgJS/WMF_scramble_11.jpg,imgJS/WMF_scramble_24.jpg,imgJS/WMF_10.jpg,imgJS/WMF_scramble_26.jpg,imgJS/WMF_scramble_7.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMN_55.jpg,imgJS/WMF;999;999;rsvp_img_15;0;4;1;1;1;5;1;9;3;rsvp_flux;19;24646;0.0-19.0;9546715;05/05/2020 14:35
2231.20499996;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;4;1;1;1;5;1;9;3;html-keyboard-response;20;26879;0.0-20.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;21;26920;0.0-21.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;0;5;1;3;1;7;1;9;1;html-keyboard-response;22;27925;0.0-22.0;9546715;05/05/2020 14:35
999;imgJS/WMF_scramble_6.jpg,imgJS/WMF_scramble_3.jpg,imgJS/WMF_scramble_2.jpg,imgJS/WMF_scramble_10.jpg,imgJS/WMF_scramble_29.jpg,imgJS/WMF_scramble_25.jpg,imgJS/WMF_scramble_10.jpg,imgJS/WMF_18.jpg,imgJS/WMF_scramble_21.jpg,imgJS/WMF_28.jpg,imgJS/WMF_s;999;999;rsvp_img_15;0;5;1;3;1;7;1;9;1;rsvp_flux;23;28978;0.0-23.0;9546715;05/05/2020 14:35
865.08500005584;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;5;1;3;1;7;1;9;1;html-keyboard-response;24;29846;0.0-24.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;25;29892;0.0-25.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;1;0;2;6;2;7;2;9;0;html-keyboard-response;26;30899;0.0-26.0;9546715;05/05/2020 14:35
999;imgJS/WFN_scramble_22.jpg,imgJS/WFN_scramble_82.jpg,imgJS/WFN_scramble_80.jpg,imgJS/WFN_scramble_11.jpg,imgJS/WFN_scramble_59.jpg,imgJS/WFN_scramble_54.jpg,imgJS/WFN_scramble_51.jpg,imgJS/WFN_64.jpg,imgJS/WFN_scramble_51.jpg,imgJS/WFF_29.jpg,imgJS/WF;999;999;rsvp_img_15;1;0;2;6;2;7;2;9;0;rsvp_flux;27;31952;0.0-27.0;9546715;05/05/2020 14:35
941.01000006776;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;1;0;2;6;2;7;2;9;0;html-keyboard-response;28;32896;0.0-28.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;29;32939;0.0-29.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;1;1;2;6;2;6;2;8;0;html-keyboard-response;30;33943;0.0-30.0;9546715;05/05/2020 14:35
999;imgJS/WFN_scramble_17.jpg,imgJS/WFN_scramble_75.jpg,imgJS/WFN_scramble_46.jpg,imgJS/WFN_scramble_70.jpg,imgJS/WFN_scramble_56.jpg,imgJS/WFN_scramble_26.jpg,imgJS/WFN_49.jpg,imgJS/WFN_scramble_68.jpg,imgJS/WFF_16.jpg,imgJS/WFN_scramble_65.jpg,imgJS/WF;999;999;rsvp_img_15;1;1;2;6;2;6;2;8;0;rsvp_flux;31;34998;0.0-31.0;9546715;05/05/2020 14:35
1208.5700000171;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;1;1;2;6;2;6;2;8;0;html-keyboard-response;32;36210;0.0-32.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;33;36257;0.0-33.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;1;2;2;4;2;4;2;8;2;html-keyboard-response;34;37261;0.0-34.0;9546715;05/05/2020 14:35
999;imgJS/WFN_scramble_26.jpg,imgJS/WFN_scramble_24.jpg,imgJS/WFN_scramble_30.jpg,imgJS/WFN_scramble_26.jpg,imgJS/WFN_61.jpg,imgJS/WFN_scramble_25.jpg,imgJS/WFN_scramble_34.jpg,imgJS/WFN_scramble_78.jpg,imgJS/WFN_79.jpg,imgJS/WFN_scramble_77.jpg,imgJS/WF;999;999;rsvp_img_15;1;2;2;4;2;4;2;8;2;rsvp_flux;35;38314;0.0-35.0;9546715;05/05/2020 14:35
927.64000000898;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;1;2;2;4;2;4;2;8;2;html-keyboard-response;36;39245;0.0-36.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;37;39287;0.0-37.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;1;3;2;5;2;5;3;7;0;html-keyboard-response;38;40292;0.0-38.0;9546715;05/05/2020 14:35
