rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;999;999;999;firstFullscreen;999;999;999;999;999;999;999;999;999;fullscreen;0;4327;0.0-0.0;3038149;05/05/2020 16:59
58166.850000038;999;"[{""page"":0,""time"":11688.074999954551},{""page"":1,""time"":888.3100000675768},{""page"":2,""time"":725.91000";999;instr;999;999;999;999;999;999;999;999;999;instructions;1;62538;0.0-1.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;0;0;1;2;1;4;0;8;2;html-keyboard-response;2;63581;0.0-2.0;3038149;05/05/2020 16:59
999;imgJS/WFF_scramble_18.jpg,imgJS/WFF_scramble_22.jpg,imgJS/WFF_scramble_15.jpg,imgJS/WFF_scramble_19.jpg,imgJS/WFF_30.jpg,imgJS/WFF_scramble_2.jpg,imgJS/WFF_scramble_31.jpg,imgJS/WFF_scramble_1.jpg,imgJS/WFN_26.jpg,imgJS/WFF_scramble_13.jpg,imgJS/WFF_;999;999;rsvp_img_15;0;0;1;2;1;4;0;8;2;rsvp_flux;3;64637;0.0-3.0;3038149;05/05/2020 16:59
3312.8400000278;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;0;1;2;1;4;0;8;2;html-keyboard-response;4;67954;0.0-4.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;5;68002;0.0-5.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;0;1;1;2;1;7;0;11;2;html-keyboard-response;6;69008;0.0-6.0;3038149;05/05/2020 16:59
999;imgJS/WFF_scramble_23.jpg,imgJS/WFF_scramble_31.jpg,imgJS/WFF_scramble_10.jpg,imgJS/WFF_scramble_13.jpg,imgJS/WFF_scramble_11.jpg,imgJS/WFF_scramble_27.jpg,imgJS/WFF_scramble_14.jpg,imgJS/WFF_3.jpg,imgJS/WFF_scramble_29.jpg,imgJS/WFF_scramble_27.jpg,;999;999;rsvp_img_15;0;1;1;2;1;7;0;11;2;rsvp_flux;7;70062;0.0-7.0;3038149;05/05/2020 16:59
1865.8750000177;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;1;1;2;1;7;0;11;2;html-keyboard-response;8;71931;0.0-8.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;9;71973;0.0-9.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;0;2;1;1;1;7;1;9;2;html-keyboard-response;10;72978;0.0-10.0;3038149;05/05/2020 16:59
999;imgJS/WMF_scramble_7.jpg,imgJS/WMF_scramble_4.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WMF_scramble_17.jpg,imgJS/WMF_scramble_14.jpg,imgJS/WMF_scramble_22.jpg,imgJS/WMF_scramble_15.jpg,imgJS/WMF_19.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WFN_38.jpg,imgJS/WMF_;999;999;rsvp_img_15;0;2;1;1;1;7;1;9;2;rsvp_flux;11;74041;0.0-11.0;3038149;05/05/2020 16:59
3879.2249999242;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;0;2;1;1;1;7;1;9;2;html-keyboard-response;12;77924;0.0-12.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;13;77966;0.0-13.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;0;3;1;3;1;5;3;7;2;html-keyboard-response;14;78970;0.0-14.0;3038149;05/05/2020 16:59
999;imgJS/WMN_scramble_11.jpg,imgJS/WMN_scramble_48.jpg,imgJS/WMN_scramble_57.jpg,imgJS/WMN_scramble_27.jpg,imgJS/WMN_scramble_25.jpg,imgJS/WMN_19.jpg,imgJS/WMN_scramble_73.jpg,imgJS/WFN_19.jpg,imgJS/WMN_scramble_91.jpg,imgJS/WMN_scramble_12.jpg,imgJS/WM;999;999;rsvp_img_15;0;3;1;3;1;5;3;7;2;rsvp_flux;15;80025;0.0-15.0;3038149;05/05/2020 16:59
1625.0950000249;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;0;3;1;3;1;5;3;7;2;html-keyboard-response;16;81653;0.0-16.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;17;81694;0.0-17.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;0;4;1;1;1;7;1;11;2;html-keyboard-response;18;82698;0.0-18.0;3038149;05/05/2020 16:59
