rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;999;999;999;firstFullscreen;999;999;999;999;999;999;999;999;999;fullscreen;0;2320;0.0-0.0;8651065;06/05/2020 14:25
113714.255;999;"[{""page"":0,""time"":12292.045000009239},{""page"":1,""time"":25965.339999995194},{""page"":2,""time"":14156.88";999;instr;999;999;999;999;999;999;999;999;999;instructions;1;116084;0.0-1.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;0;1;1;1;8;1;10;2;html-keyboard-response;2;117127;0.0-2.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_25.jpg,imgJS/WMF_scramble_23.jpg,imgJS/WMF_scramble_23.jpg,imgJS/WMF_scramble_16.jpg,imgJS/WMF_scramble_17.jpg,imgJS/WMF_scramble_19.jpg,imgJS/WMF_scramble_6.jpg,imgJS/WMF_scramble_9.jpg,imgJS/WMF_14.jpg,imgJS/WMF_scramble_14.jpg,i;999;999;rsvp_img_15;0;0;1;1;1;8;1;10;2;rsvp_flux;3;118182;0.0-3.0;8651065;06/05/2020 14:25
917.4649999477;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;0;0;1;1;1;8;1;10;2;html-keyboard-response;4;119103;0.0-4.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;5;119142;0.0-5.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;1;1;2;1;7;0;11;2;html-keyboard-response;6;120147;0.0-6.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_22.jpg,imgJS/WFF_scramble_12.jpg,imgJS/WFF_scramble_35.jpg,imgJS/WFF_scramble_3.jpg,imgJS/WFF_scramble_30.jpg,imgJS/WFF_scramble_17.jpg,imgJS/WFF_scramble_12.jpg,imgJS/WFF_11.jpg,imgJS/WFF_scramble_10.jpg,imgJS/WFF_scramble_19.jpg,;999;999;rsvp_img_15;0;1;1;2;1;7;0;11;2;rsvp_flux;7;121201;0.0-7.0;8651065;06/05/2020 14:25
792.91499999817;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;1;1;2;1;7;0;11;2;html-keyboard-response;8;121997;0.0-8.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;9;122036;0.0-9.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;2;1;1;1;4;1;8;3;html-keyboard-response;10;123040;0.0-10.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_23.jpg,imgJS/WMF_scramble_11.jpg,imgJS/WMF_scramble_4.jpg,imgJS/WMF_scramble_8.jpg,imgJS/WMF_22.jpg,imgJS/WMF_scramble_15.jpg,imgJS/WMF_scramble_28.jpg,imgJS/WMF_scramble_6.jpg,imgJS/WMN_67.jpg,imgJS/WMF_scramble_2.jpg,imgJS/WMF_sc;999;999;rsvp_img_15;0;2;1;1;1;4;1;8;3;rsvp_flux;11;124094;0.0-11.0;8651065;06/05/2020 14:25
1089.5149999997;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;2;1;1;1;4;1;8;3;html-keyboard-response;12;125187;0.0-12.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;13;125233;0.0-13.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;3;1;4;1;8;2;10;2;html-keyboard-response;14;126237;0.0-14.0;8651065;06/05/2020 14:25
999;imgJS/WFN_scramble_14.jpg,imgJS/WFN_scramble_28.jpg,imgJS/WFN_scramble_81.jpg,imgJS/WFN_scramble_20.jpg,imgJS/WFN_scramble_54.jpg,imgJS/WFN_scramble_78.jpg,imgJS/WFN_scramble_74.jpg,imgJS/WFN_scramble_62.jpg,imgJS/WFN_44.jpg,imgJS/WFN_scramble_86.jpg;999;999;rsvp_img_15;0;3;1;4;1;8;2;10;2;rsvp_flux;15;127291;0.0-15.0;8651065;06/05/2020 14:25
701.23500004411;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;3;1;4;1;8;2;10;2;html-keyboard-response;16;127995;0.0-16.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;17;128034;0.0-17.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;4;1;2;1;7;0;11;3;html-keyboard-response;18;129040;0.0-18.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_30.jpg,imgJS/WFF_scramble_6.jpg,imgJS/WFF_scramble_22.jpg,imgJS/WFF_scramble_11.jpg,imgJS/WFF_scramble_11.jpg,imgJS/WFF_scramble_10.jpg,imgJS/WFF_scramble_33.jpg,imgJS/WFF_10.jpg,imgJS/WFF_scramble_33.jpg,imgJS/WFF_scramble_32.jpg,;999;999;rsvp_img_15;0;4;1;2;1;7;0;11;3;rsvp_flux;19;130093;0.0-19.0;8651065;06/05/2020 14:25
952.09000003524;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;0;4;1;2;1;7;0;11;3;html-keyboard-response;20;131048;0.0-20.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;21;131087;0.0-21.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;5;1;3;1;8;1;10;0;html-keyboard-response;22;132091;0.0-22.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_22.jpg,imgJS/WMF_scramble_26.jpg,imgJS/WMF_scramble_9.jpg,imgJS/WMF_scramble_1.jpg,imgJS/WMF_scramble_11.jpg,imgJS/WMF_scramble_8.jpg,imgJS/WMF_scramble_27.jpg,imgJS/WMF_scramble_1.jpg,imgJS/WMF_4.jpg,imgJS/WMF_scramble_20.jpg,imgJ;999;999;rsvp_img_15;0;5;1;3;1;8;1;10;0;rsvp_flux;23;133145;0.0-23.0;8651065;06/05/2020 14:25
1809.2399999732;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;0;5;1;3;1;8;1;10;0;html-keyboard-response;24;134958;0.0-24.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;25;135003;0.0-25.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;1;0;2;5;2;6;3;10;1;html-keyboard-response;26;136008;0.0-26.0;8651065;06/05/2020 14:25
999;imgJS/WMN_scramble_4.jpg,imgJS/WMN_scramble_84.jpg,imgJS/WMN_scramble_41.jpg,imgJS/WMN_scramble_35.jpg,imgJS/WMN_scramble_54.jpg,imgJS/WMN_scramble_66.jpg,imgJS/WMN_7.jpg,imgJS/WMN_scramble_45.jpg,imgJS/WMN_scramble_90.jpg,imgJS/WMN_scramble_35.jpg,i;999;999;rsvp_img_15;1;0;2;5;2;6;3;10;1;rsvp_flux;27;137061;0.0-27.0;8651065;06/05/2020 14:25
1356.0649999417;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;1;0;2;5;2;6;3;10;1;html-keyboard-response;28;138420;0.0-28.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;29;138466;0.0-29.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;1;1;2;3;2;6;1;8;1;html-keyboard-response;30;139471;0.0-30.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_24.jpg,imgJS/WMF_scramble_27.jpg,imgJS/WMF_scramble_21.jpg,imgJS/WMF_scramble_27.jpg,imgJS/WMF_scramble_5.jpg,imgJS/WMF_scramble_24.jpg,imgJS/WMF_28.jpg,imgJS/WMF_scramble_8.jpg,imgJS/WMF_1.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMF_s;999;999;rsvp_img_15;1;1;2;3;2;6;1;8;1;rsvp_flux;31;140524;0.0-31.0;8651065;06/05/2020 14:25
1316.519999993;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;1;1;2;3;2;6;1;8;1;html-keyboard-response;32;141843;0.0-32.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;33;141885;0.0-33.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;1;2;2;4;2;5;0;9;1;html-keyboard-response;34;142890;0.0-34.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_27.jpg,imgJS/WFF_scramble_34.jpg,imgJS/WFF_scramble_33.jpg,imgJS/WFF_scramble_28.jpg,imgJS/WFF_scramble_31.jpg,imgJS/WFF_24.jpg,imgJS/WFF_scramble_5.jpg,imgJS/WFF_scramble_11.jpg,imgJS/WFF_scramble_30.jpg,imgJS/WMF_19.jpg,imgJS/WFF;999;999;rsvp_img_15;1;2;2;4;2;5;0;9;1;rsvp_flux;35;143945;0.0-35.0;8651065;06/05/2020 14:25
393.54000007734;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;1;2;2;4;2;5;0;9;1;html-keyboard-response;36;144341;0.0-36.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;37;144379;0.0-37.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;1;3;2;6;2;4;2;8;0;html-keyboard-response;38;145383;0.0-38.0;8651065;06/05/2020 14:25
999;imgJS/WFN_scramble_65.jpg,imgJS/WFN_scramble_16.jpg,imgJS/WFN_scramble_57.jpg,imgJS/WFN_scramble_70.jpg,imgJS/WFN_30.jpg,imgJS/WFN_scramble_7.jpg,imgJS/WFN_scramble_20.jpg,imgJS/WFN_scramble_20.jpg,imgJS/WFF_9.jpg,imgJS/WFN_scramble_11.jpg,imgJS/WFN_;999;999;rsvp_img_15;1;3;2;6;2;4;2;8;0;rsvp_flux;39;146438;0.0-39.0;8651065;06/05/2020 14:25
853.02000003867;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;1;3;2;6;2;4;2;8;0;html-keyboard-response;40;147293;0.0-40.0;8651065;06/05/2020 14:25
