runID	startTime	doneTime	participant_participantID	taskSession_taskSessionID	taskSessionID	sessionName	openingTime	closingTime	task_taskID	rt	stimulus	responses	key_press	test_part	blockNb	trialNb	condiEmoBlock	condiEmoTrial	condiRwd	posCritDist	distractor	posTarget	target	trial_type	trial_index	time_elapsed	internal_node_id	run_id	date	
15	2020-05-26 08:39:43		user9	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	firstFullscreen	999	999	999	999	999	999	999	999	999	fullscreen	0	3763	0.0-0.0	15	10:39 26-5-2020	
15	2020-05-26 08:39:43		user9	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	54804.209999973	999	[{"page":0,"time":1808.9649999747053},{"page":1,"time":5107.0250000339},{"page":2,"time":46108.04500000086},{"page":3,"time":503.5400000051595},{"page":4,"time":622.1349999541417},{"page":5,"time":653.7400000379421}]	999	instr	999	999	999	999	999	999	999	999	999	instructions	1	58580	0.0-1.0	15	10:39 26-5-2020	
15	2020-05-26 08:39:43		user9	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	0	0	2	4	2	6	0	8	0	html-keyboard-response	2	59593	0.0-2.0	15	10:39 26-5-2020	
15	2020-05-26 08:39:43		user9	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WFF_scramble_26.jpg,imgJS/WFF_scramble_27.jpg,imgJS/WFF_scramble_3.jpg,imgJS/WFF_scramble_23.jpg,imgJS/WFF_scramble_16.jpg,imgJS/WFF_scramble_36.jpg,imgJS/WFF_20.jpg,imgJS/WFF_scramble_21.jpg,imgJS/WFF_36.jpg,imgJS/WFF_scramble_18.jpg,imgJS/WFF_scramble_8.jpg,imgJS/WFF_scramble_25.jpg,imgJS/WFF_scramble_13.jpg,imgJS/WFF_scramble_9.jpg,imgJS/WFF_scramble_21.jpg	999	999	rsvp_img_15	0	0	2	4	2	6	0	8	0	rsvp_flux	3	60649	0.0-3.0	15	10:39 26-5-2020	
19	2020-05-26 08:41:49		user6	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	firstFullscreen	999	999	999	999	999	999	999	999	999	fullscreen	0	1735	0.0-0.0	19	10:41 26-5-2020	
19	2020-05-26 08:41:49		user6	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	9167.5599999726	999	[{"page":0,"time":2250.575000070967},{"page":1,"time":1381.95499998983},{"page":2,"time":1860.1049999706447},{"page":3,"time":1133.8400000240654},{"page":4,"time":1010.0049999309704},{"page":5,"time":1530.4999999934807}]	999	instr	999	999	999	999	999	999	999	999	999	instructions	1	10942	0.0-1.0	19	10:41 26-5-2020	
19	2020-05-26 08:41:49		user6	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	0	0	1	3	1	8	3	10	2	html-keyboard-response	2	12004	0.0-2.0	19	10:41 26-5-2020	
19	2020-05-26 08:41:49		user6	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WMN_scramble_25.jpg,imgJS/WMN_scramble_78.jpg,imgJS/WMN_scramble_29.jpg,imgJS/WMN_scramble_47.jpg,imgJS/WMN_scramble_45.jpg,imgJS/WMN_scramble_18.jpg,imgJS/WMN_scramble_85.jpg,imgJS/WMN_scramble_74.jpg,imgJS/WMN_14.jpg,imgJS/WMN_scramble_17.jpg,imgJS/WFN_70.jpg,imgJS/WMN_scramble_36.jpg,imgJS/WMN_scramble_51.jpg,imgJS/WMN_scramble_26.jpg,imgJS/WMN_scramble_30.jpg	999	999	rsvp_img_15	0	0	1	3	1	8	3	10	2	rsvp_flux	3	13060	0.0-3.0	19	10:41 26-5-2020	
23	2020-05-26 08:48:44		user9	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	firstFullscreen	999	999	999	999	999	999	999	999	999	fullscreen	0	4473	0.0-0.0	23	10:48 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	firstFullscreen	999	999	999	999	999	999	999	999	999	fullscreen	0	12494	0.0-0.0	26	11:22 26-5-2020	
